part_id,sheet,body_name,body_label,assembly,good_face_normal,x_mm,y_mm,rotation_deg,width_mm,height_mm,dxf_file
P039,3,Cabinet4LowerSideOuterBody,LowerSide — outer003,Cabinet 4 — front right,-Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet4LowerSideOuterBody.dxf
P040,3,Cabinet4LowerSideInnerBody,LowerSide — inner003,Cabinet 4 — front right,+Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet4LowerSideInnerBody.dxf
P198,3,Cabinet4DrawerBackInnerBody,Drawer back — inner003,Cabinet 4 drawer,+X,974.2,0.0,90,177.8,693.4,profiles/Cabinet4DrawerBackInnerBody.dxf
P030,4,Cabinet3UpperSideInnerBody,UpperSide — inner002,Cabinet 3 — front left,-Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet3UpperSideInnerBody.dxf
P170,4,Cabinet3DrawerBackOuterBody,Drawer back — outer002,Cabinet 3 drawer,+X,974.2,0.0,90,177.8,693.4,profiles/Cabinet3DrawerBackOuterBody.dxf
P214,4,Cabinet4DrawerCabinetLowChannelBackLayer2Body,Cabinet 4 drawer cabinet low channel back — layer 2,Cabinet 4 — front right,+Y,0.0,570.4,0,914.8,79.2,profiles/Cabinet4DrawerCabinetLowChannelBackLayer2Body.dxf
P213,4,Cabinet4DrawerCabinetLowChannelBackLayer1Body,Cabinet 4 drawer cabinet low channel back — layer 1,Cabinet 4 — front right,-Y,0.0,486.19999999999993,0,914.8,79.2,profiles/Cabinet4DrawerCabinetLowChannelBackLayer1Body.dxf
P207,4,Cabinet4DrawerCabinetLowAntiTipLayer3Body,Cabinet 4 drawer cabinet lowantitip strip — layer 3,Cabinet 4 — front right,-Y,0.0,715.4,0,914.8,25.4,profiles/Cabinet4DrawerCabinetLowAntiTipLayer3Body.dxf
P183,4,Cabinet3DrawerCabinetHighAntiTipLayer4Body,Cabinet 3 drawer cabinet highantitip strip — layer 4,Cabinet 3 — front left,-Y,0.0,455.79999999999995,0,914.8,25.4,profiles/Cabinet3DrawerCabinetHighAntiTipLayer4Body.dxf
P182,4,Cabinet3DrawerCabinetHighAntiTipLayer3Body,Cabinet 3 drawer cabinet highantitip strip — layer 3,Cabinet 3 — front left,+Y,0.0,425.4,0,914.8,25.4,profiles/Cabinet3DrawerCabinetHighAntiTipLayer3Body.dxf
P205,4,Cabinet4DrawerCabinetLowSupportLayer3Body,Cabinet 4 drawer cabinet lowsupport strip — layer 3,Cabinet 4 — front right,-Y,0.0,654.6,0,914.8,25.4,profiles/Cabinet4DrawerCabinetLowSupportLayer3Body.dxf
P181,4,Cabinet3DrawerCabinetHighSupportLayer4Body,Cabinet 3 drawer cabinet highsupport strip — layer 4,Cabinet 3 — front left,-Y,0.0,395.0,0,914.8,25.4,profiles/Cabinet3DrawerCabinetHighSupportLayer4Body.dxf
P180,4,Cabinet3DrawerCabinetHighSupportLayer3Body,Cabinet 3 drawer cabinet highsupport strip — layer 3,Cabinet 3 — front left,+Y,0.0,364.6,0,914.8,25.4,profiles/Cabinet3DrawerCabinetHighSupportLayer3Body.dxf
P208,4,Cabinet4DrawerCabinetLowAntiTipLayer4Body,Cabinet 4 drawer cabinet lowantitip strip — layer 4,Cabinet 4 — front right,+Y,0.0,745.8,0,914.8,25.4,profiles/Cabinet4DrawerCabinetLowAntiTipLayer4Body.dxf
P206,4,Cabinet4DrawerCabinetLowSupportLayer4Body,Cabinet 4 drawer cabinet lowsupport strip — layer 4,Cabinet 4 — front right,+Y,0.0,685.0,0,914.8,25.4,profiles/Cabinet4DrawerCabinetLowSupportLayer4Body.dxf
P029,5,Cabinet3UpperSideOuterBody,UpperSide — outer002,Cabinet 3 — front left,+Y,0.0,229.20000000000002,0,969.2,359.6,profiles/Cabinet3UpperSideOuterBody.dxf
P169,5,Cabinet3DrawerBackInnerBody,Drawer back — inner002,Cabinet 3 drawer,-X,974.2,0.0,90,177.8,693.4,profiles/Cabinet3DrawerBackInnerBody.dxf
P185,5,Cabinet3DrawerCabinetLowChannelBackLayer2Body,Cabinet 3 drawer cabinet low channel back — layer 2,Cabinet 3 — front left,+Y,0.0,84.2,0,914.8,79.2,profiles/Cabinet3DrawerCabinetLowChannelBackLayer2Body.dxf
P187,5,Cabinet3DrawerCabinetHighChannelBackLayer2Body,Cabinet 3 drawer cabinet high channel back — layer 2,Cabinet 3 — front left,-Y,0.0,678.0000000000001,0,914.8,79.2,profiles/Cabinet3DrawerCabinetHighChannelBackLayer2Body.dxf
P184,5,Cabinet3DrawerCabinetLowChannelBackLayer1Body,Cabinet 3 drawer cabinet low channel back — layer 1,Cabinet 3 — front left,-Y,0.0,0.0,0,914.8,79.2,profiles/Cabinet3DrawerCabinetLowChannelBackLayer1Body.dxf
P186,5,Cabinet3DrawerCabinetHighChannelBackLayer1Body,Cabinet 3 drawer cabinet high channel back — layer 1,Cabinet 3 — front left,+Y,0.0,593.8000000000001,0,914.8,79.2,profiles/Cabinet3DrawerCabinetHighChannelBackLayer1Body.dxf
P178,5,Cabinet3DrawerCabinetLowAntiTipLayer3Body,Cabinet 3 drawer cabinet lowantitip strip — layer 3,Cabinet 3 — front left,-Y,0.0,168.4,0,914.8,25.4,profiles/Cabinet3DrawerCabinetLowAntiTipLayer3Body.dxf
P179,5,Cabinet3DrawerCabinetLowAntiTipLayer4Body,Cabinet 3 drawer cabinet lowantitip strip — layer 4,Cabinet 3 — front left,+Y,0.0,198.8,0,914.8,25.4,profiles/Cabinet3DrawerCabinetLowAntiTipLayer4Body.dxf
P027,6,Cabinet3LowerSideOuterBody,LowerSide — outer002,Cabinet 3 — front left,-Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet3LowerSideOuterBody.dxf
P028,6,Cabinet3LowerSideInnerBody,LowerSide — inner002,Cabinet 3 — front left,+Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet3LowerSideInnerBody.dxf
P141,6,Cabinet2DrawerBackOuterBody,Drawer back — outer001,Cabinet 2 drawer,-X,974.2,0.0,90,177.8,693.4,profiles/Cabinet2DrawerBackOuterBody.dxf
P176,6,Cabinet3DrawerCabinetLowSupportLayer3Body,Cabinet 3 drawer cabinet lowsupport strip — layer 3,Cabinet 3 — front left,-Y,0.0,729.2,0,914.8,25.4,profiles/Cabinet3DrawerCabinetLowSupportLayer3Body.dxf
P177,6,Cabinet3DrawerCabinetLowSupportLayer4Body,Cabinet 3 drawer cabinet lowsupport strip — layer 4,Cabinet 3 — front left,+Y,0.0,759.6,0,914.8,25.4,profiles/Cabinet3DrawerCabinetLowSupportLayer4Body.dxf
P018,7,Cabinet2UpperSideInnerBody,UpperSide — inner001,Cabinet 2 — front right,-Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet2UpperSideInnerBody.dxf
P017,7,Cabinet2UpperSideOuterBody,UpperSide — outer001,Cabinet 2 — front right,+Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet2UpperSideOuterBody.dxf
P140,7,Cabinet2DrawerBackInnerBody,Drawer back — inner001,Cabinet 2 drawer,+X,974.2,0.0,90,177.8,693.4,profiles/Cabinet2DrawerBackInnerBody.dxf
P016,8,Cabinet2LowerSideInnerBody,LowerSide — inner001,Cabinet 2 — front right,+Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet2LowerSideInnerBody.dxf
P112,8,Cabinet1DrawerBackOuterBody,Drawer back — outer,Cabinet 1 drawer,+X,974.2,0.0,90,177.8,693.4,profiles/Cabinet1DrawerBackOuterBody.dxf
P157,8,Cabinet2DrawerCabinetHighChannelBackLayer1Body,Cabinet 2 drawer cabinet high channel back — layer 1,Cabinet 2 — front right,+Y,0.0,486.19999999999993,0,914.8,79.2,profiles/Cabinet2DrawerCabinetHighChannelBackLayer1Body.dxf
P158,8,Cabinet2DrawerCabinetHighChannelBackLayer2Body,Cabinet 2 drawer cabinet high channel back — layer 2,Cabinet 2 — front right,-Y,0.0,570.4,0,914.8,79.2,profiles/Cabinet2DrawerCabinetHighChannelBackLayer2Body.dxf
P154,8,Cabinet2DrawerCabinetHighAntiTipLayer4Body,Cabinet 2 drawer cabinet highantitip strip — layer 4,Cabinet 2 — front right,-Y,0.0,745.8,0,914.8,25.4,profiles/Cabinet2DrawerCabinetHighAntiTipLayer4Body.dxf
P153,8,Cabinet2DrawerCabinetHighAntiTipLayer3Body,Cabinet 2 drawer cabinet highantitip strip — layer 3,Cabinet 2 — front right,+Y,0.0,715.4,0,914.8,25.4,profiles/Cabinet2DrawerCabinetHighAntiTipLayer3Body.dxf
P152,8,Cabinet2DrawerCabinetHighSupportLayer4Body,Cabinet 2 drawer cabinet highsupport strip — layer 4,Cabinet 2 — front right,-Y,0.0,685.0,0,914.8,25.4,profiles/Cabinet2DrawerCabinetHighSupportLayer4Body.dxf
P151,8,Cabinet2DrawerCabinetHighSupportLayer3Body,Cabinet 2 drawer cabinet highsupport strip — layer 3,Cabinet 2 — front right,+Y,0.0,654.6,0,914.8,25.4,profiles/Cabinet2DrawerCabinetHighSupportLayer3Body.dxf
P148,8,Cabinet2DrawerCabinetLowSupportLayer4Body,Cabinet 2 drawer cabinet lowsupport strip — layer 4,Cabinet 2 — front right,+Y,0.0,395.0,0,914.8,25.4,profiles/Cabinet2DrawerCabinetLowSupportLayer4Body.dxf
P150,8,Cabinet2DrawerCabinetLowAntiTipLayer4Body,Cabinet 2 drawer cabinet lowantitip strip — layer 4,Cabinet 2 — front right,+Y,0.0,455.79999999999995,0,914.8,25.4,profiles/Cabinet2DrawerCabinetLowAntiTipLayer4Body.dxf
P147,8,Cabinet2DrawerCabinetLowSupportLayer3Body,Cabinet 2 drawer cabinet lowsupport strip — layer 3,Cabinet 2 — front right,-Y,0.0,364.6,0,914.8,25.4,profiles/Cabinet2DrawerCabinetLowSupportLayer3Body.dxf
P149,8,Cabinet2DrawerCabinetLowAntiTipLayer3Body,Cabinet 2 drawer cabinet lowantitip strip — layer 3,Cabinet 2 — front right,-Y,0.0,425.4,0,914.8,25.4,profiles/Cabinet2DrawerCabinetLowAntiTipLayer3Body.dxf
P015,9,Cabinet2LowerSideOuterBody,LowerSide — outer001,Cabinet 2 — front right,-Y,0.0,229.20000000000002,0,969.2,359.6,profiles/Cabinet2LowerSideOuterBody.dxf
P111,9,Cabinet1DrawerBackInnerBody,Drawer back — inner,Cabinet 1 drawer,-X,974.2,0.0,90,177.8,693.4,profiles/Cabinet1DrawerBackInnerBody.dxf
P128,9,Cabinet1DrawerCabinetHighChannelBackLayer1Body,Cabinet 1 drawer cabinet high channel back — layer 1,Cabinet 1 — front left,+Y,0.0,0.0,0,914.8,79.2,profiles/Cabinet1DrawerCabinetHighChannelBackLayer1Body.dxf
P129,9,Cabinet1DrawerCabinetHighChannelBackLayer2Body,Cabinet 1 drawer cabinet high channel back — layer 2,Cabinet 1 — front left,-Y,0.0,84.2,0,914.8,79.2,profiles/Cabinet1DrawerCabinetHighChannelBackLayer2Body.dxf
P156,9,Cabinet2DrawerCabinetLowChannelBackLayer2Body,Cabinet 2 drawer cabinet low channel back — layer 2,Cabinet 2 — front right,+Y,0.0,678.0000000000001,0,914.8,79.2,profiles/Cabinet2DrawerCabinetLowChannelBackLayer2Body.dxf
P155,9,Cabinet2DrawerCabinetLowChannelBackLayer1Body,Cabinet 2 drawer cabinet low channel back — layer 1,Cabinet 2 — front right,-Y,0.0,593.8000000000001,0,914.8,79.2,profiles/Cabinet2DrawerCabinetLowChannelBackLayer1Body.dxf
P125,9,Cabinet1DrawerCabinetHighAntiTipLayer4Body,Cabinet 1 drawer cabinet highantitip strip — layer 4,Cabinet 1 — front left,-Y,0.0,198.8,0,914.8,25.4,profiles/Cabinet1DrawerCabinetHighAntiTipLayer4Body.dxf
P124,9,Cabinet1DrawerCabinetHighAntiTipLayer3Body,Cabinet 1 drawer cabinet highantitip strip — layer 3,Cabinet 1 — front left,+Y,0.0,168.4,0,914.8,25.4,profiles/Cabinet1DrawerCabinetHighAntiTipLayer3Body.dxf
P200,10,Cabinet4DrawerBottomBody,Drawer bottom — single ply003,Cabinet 4 drawer,+Z,0.0,0.0,0,947.8,693.4,profiles/Cabinet4DrawerBottomBody.dxf
P005,11,Cabinet1UpperSideOuterBody,UpperSide — outer,Cabinet 1 — front left,+Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet1UpperSideOuterBody.dxf
P006,11,Cabinet1UpperSideInnerBody,UpperSide — inner,Cabinet 1 — front left,-Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet1UpperSideInnerBody.dxf
P048,11,Cabinet4BackBottomStripInnerBody,BackBottomStrip — inner003,Cabinet 4 — front right,+Z,974.2,0.0,0,166.0,766.0,profiles/Cabinet4BackBottomStripInnerBody.dxf
P123,11,Cabinet1DrawerCabinetHighSupportLayer4Body,Cabinet 1 drawer cabinet highsupport strip — layer 4,Cabinet 1 — front left,-Y,0.0,759.6,0,914.8,25.4,profiles/Cabinet1DrawerCabinetHighSupportLayer4Body.dxf
P122,11,Cabinet1DrawerCabinetHighSupportLayer3Body,Cabinet 1 drawer cabinet highsupport strip — layer 3,Cabinet 1 — front left,+Y,0.0,729.2,0,914.8,25.4,profiles/Cabinet1DrawerCabinetHighSupportLayer3Body.dxf
P003,12,Cabinet1LowerSideOuterBody,LowerSide — outer,Cabinet 1 — front left,-Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet1LowerSideOuterBody.dxf
P004,12,Cabinet1LowerSideInnerBody,LowerSide — inner,Cabinet 1 — front left,+Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet1LowerSideInnerBody.dxf
P047,12,Cabinet4BackBottomStripOuterBody,BackBottomStrip — outer003,Cabinet 4 — front right,-Z,974.2,0.0,0,166.0,766.0,profiles/Cabinet4BackBottomStripOuterBody.dxf
P116,12,Cabinet1DrawerHighSlideLayer1Body,Drawer slide — high side — layer 1,Cabinet 1 drawer,-Y,0.0,729.2,0,928.4,25.4,profiles/Cabinet1DrawerHighSlideLayer1Body.dxf
P117,12,Cabinet1DrawerHighSlideLayer2Body,Drawer slide — high side — layer 2,Cabinet 1 drawer,+Y,0.0,759.6,0,928.4,25.4,profiles/Cabinet1DrawerHighSlideLayer2Body.dxf
P304,13,Cabinet8UpperDrawerBottomBody,Drawer bottom — single ply007,Cabinet 8 upper drawer,+Z,0.0,0.0,0,439.4,490.6,profiles/Cabinet8UpperDrawerBottomBody.dxf
P279,13,Cabinet7UpperDrawerBottomBody,Drawer bottom — single ply006,Cabinet 7 upper drawer,+Z,444.4,0.0,0,439.4,490.6,profiles/Cabinet7UpperDrawerBottomBody.dxf
P127,13,Cabinet1DrawerCabinetLowChannelBackLayer2Body,Cabinet 1 drawer cabinet low channel back — layer 2,Cabinet 1 — front left,+Y,0.0,495.6,0,914.8,79.2,profiles/Cabinet1DrawerCabinetLowChannelBackLayer2Body.dxf
P126,13,Cabinet1DrawerCabinetLowChannelBackLayer1Body,Cabinet 1 drawer cabinet low channel back — layer 1,Cabinet 1 — front left,-Y,0.0,579.8000000000001,0,914.8,79.2,profiles/Cabinet1DrawerCabinetLowChannelBackLayer1Body.dxf
P274,13,Cabinet7UpperDrawerSideLowInnerBody,Drawer side — lowinner006,Cabinet 7 upper drawer,+X,888.8,0.0,90,100.0,490.6,profiles/Cabinet7UpperDrawerSideLowInnerBody.dxf
P273,13,Cabinet7UpperDrawerSideLowOuterBody,Drawer side — lowouter006,Cabinet 7 upper drawer,-X,993.8,0.0,90,100.0,490.6,profiles/Cabinet7UpperDrawerSideLowOuterBody.dxf
P119,13,Cabinet1DrawerCabinetLowSupportLayer4Body,Cabinet 1 drawer cabinet lowsupport strip — layer 4,Cabinet 1 — front left,+Y,0.0,664.0000000000001,0,914.8,25.4,profiles/Cabinet1DrawerCabinetLowSupportLayer4Body.dxf
P121,13,Cabinet1DrawerCabinetLowAntiTipLayer4Body,Cabinet 1 drawer cabinet lowantitip strip — layer 4,Cabinet 1 — front left,+Y,0.0,694.4000000000001,0,914.8,25.4,profiles/Cabinet1DrawerCabinetLowAntiTipLayer4Body.dxf
P118,13,Cabinet1DrawerCabinetLowSupportLayer3Body,Cabinet 1 drawer cabinet lowsupport strip — layer 3,Cabinet 1 — front left,-Y,0.0,724.8000000000001,0,914.8,25.4,profiles/Cabinet1DrawerCabinetLowSupportLayer3Body.dxf
P120,13,Cabinet1DrawerCabinetLowAntiTipLayer3Body,Cabinet 1 drawer cabinet lowantitip strip — layer 3,Cabinet 1 — front left,-Y,0.0,755.2,0,914.8,25.4,profiles/Cabinet1DrawerCabinetLowAntiTipLayer3Body.dxf
P281,13,Cabinet7UpperDrawerLowSlideLayer2Body,Drawer slide — low side — layer 012,Cabinet 7 upper drawer,+X,1098.8,0.0,90,25.4,471.2,profiles/Cabinet7UpperDrawerLowSlideLayer2Body.dxf
P280,13,Cabinet7UpperDrawerLowSlideLayer1Body,Drawer slide — low side — layer 011,Cabinet 7 upper drawer,-X,1129.2,0.0,90,25.4,471.2,profiles/Cabinet7UpperDrawerLowSlideLayer1Body.dxf
P062,14,Cabinet6TopInnerBody,Top — inner005,Cabinet 6 — front against wall,-Z,0.0,0.0,0,969.2,512.0,profiles/Cabinet6TopInnerBody.dxf
P110,14,Cabinet1DrawerSideHighOuterBody,Drawer side — highouter,Cabinet 1 drawer,+Y,0.0,517.0,0,947.8,177.8,profiles/Cabinet1DrawerSideHighOuterBody.dxf
P191,14,Cabinet4CenterSupportInnerBody,Center top support — inner003,Cabinet 4 — front right,+Y,0.0,739.0,0,961.4,34.2,profiles/Cabinet4CenterSupportInnerBody.dxf
P190,14,Cabinet4CenterSupportOuterBody,Center top support — outer003,Cabinet 4 — front right,-Y,0.0,699.8,0,961.4,34.2,profiles/Cabinet4CenterSupportOuterBody.dxf
P061,15,Cabinet6TopOuterBody,Top — outer005,Cabinet 6 — front against wall,+Z,0.0,0.0,0,969.2,512.0,profiles/Cabinet6TopOuterBody.dxf
P109,15,Cabinet1DrawerSideHighInnerBody,Drawer side — highinner,Cabinet 1 drawer,-Y,0.0,517.0,0,947.8,177.8,profiles/Cabinet1DrawerSideHighInnerBody.dxf
P302,15,Cabinet8UpperDrawerBackInnerBody,Drawer back — inner007,Cabinet 8 upper drawer,-Y,974.2,0.0,90,100.0,439.4,profiles/Cabinet8UpperDrawerBackInnerBody.dxf
P303,15,Cabinet8UpperDrawerBackOuterBody,Drawer back — outer007,Cabinet 8 upper drawer,+Y,1079.2,0.0,90,100.0,439.4,profiles/Cabinet8UpperDrawerBackOuterBody.dxf
P161,15,Cabinet3CenterSupportOuterBody,Center top support — outer002,Cabinet 3 — front left,-Y,0.0,699.8,0,961.4,34.2,profiles/Cabinet3CenterSupportOuterBody.dxf
P162,15,Cabinet3CenterSupportInnerBody,Center top support — inner002,Cabinet 3 — front left,+Y,0.0,739.0,0,961.4,34.2,profiles/Cabinet3CenterSupportInnerBody.dxf
P100,16,Cabinet6FrontSupportInnerBody,Front support — inner001,Cabinet 6 — front against wall,-Y,0.0,118.6,0,969.2,113.6,profiles/Cabinet6FrontSupportInnerBody.dxf
P099,16,Cabinet6FrontSupportOuterBody,Front support — outer001,Cabinet 6 — front against wall,+Y,0.0,0.0,0,969.2,113.6,profiles/Cabinet6FrontSupportOuterBody.dxf
P096,16,Cabinet8BackBottomStripInnerBody,BackBottomStrip — inner007,"Cabinet 8 — right bedside table, front away from wall",+Z,171.0,237.2,90,166.0,512.0,profiles/Cabinet8BackBottomStripInnerBody.dxf
P095,16,Cabinet8BackBottomStripOuterBody,BackBottomStrip — outer007,"Cabinet 8 — right bedside table, front away from wall",-Z,0.0,237.2,90,166.0,512.0,profiles/Cabinet8BackBottomStripOuterBody.dxf
P094,16,Cabinet8FrontBottomStripInnerBody,FrontBottomStrip — inner007,"Cabinet 8 — right bedside table, front away from wall",+Z,501.4,237.2,90,154.4,512.0,profiles/Cabinet8FrontBottomStripInnerBody.dxf
P093,16,Cabinet8FrontBottomStripOuterBody,FrontBottomStrip — outer007,"Cabinet 8 — right bedside table, front away from wall",-Z,342.0,237.2,90,154.4,512.0,profiles/Cabinet8FrontBottomStripOuterBody.dxf
P223,16,Cabinet7LowerDrawerSideHighInnerBody,Drawer side — highinner004,Cabinet 7 lower drawer,-X,660.8,237.2,0,490.6,100.0,profiles/Cabinet7LowerDrawerSideHighInnerBody.dxf
P224,16,Cabinet7LowerDrawerSideHighOuterBody,Drawer side — highouter004,Cabinet 7 lower drawer,+X,660.8,342.2,0,490.6,100.0,profiles/Cabinet7LowerDrawerSideHighOuterBody.dxf
P249,16,Cabinet8LowerDrawerSideLowInnerBody,Drawer side — lowinner005,Cabinet 8 lower drawer,+X,660.8,552.2,0,490.6,100.0,profiles/Cabinet8LowerDrawerSideLowInnerBody.dxf
P248,16,Cabinet8LowerDrawerSideLowOuterBody,Drawer side — lowouter005,Cabinet 8 lower drawer,-X,660.8,447.2,0,490.6,100.0,profiles/Cabinet8LowerDrawerSideLowOuterBody.dxf
P230,16,Cabinet7LowerDrawerHighSlideLayer1Body,Drawer slide — high side — layer 007,Cabinet 7 lower drawer,-X,0.0,754.2,0,471.2,25.4,profiles/Cabinet7LowerDrawerHighSlideLayer1Body.dxf
P231,16,Cabinet7LowerDrawerHighSlideLayer2Body,Drawer slide — high side — layer 008,Cabinet 7 lower drawer,+X,476.2,754.2,0,471.2,25.4,profiles/Cabinet7LowerDrawerHighSlideLayer2Body.dxf
P255,16,Cabinet8LowerDrawerLowSlideLayer1Body,Drawer slide — low side — layer 009,Cabinet 8 lower drawer,-X,1156.4,0.0,90,25.4,471.2,profiles/Cabinet8LowerDrawerLowSlideLayer1Body.dxf
